datetime,price
2018-01-05,36550.0
2018-01-12,36850.0
2018-01-19,36850.0
2018-01-26,35200.0
2018-02-02,34650.0
2018-02-09,35250.0
2018-02-16,34750.0
2018-02-23,34500.0
2018-03-02,34500.0
2018-03-09,35500.0
2018-03-16,36500.0
2018-03-23,40000.0
2018-03-30,40000.0
2018-04-06,39500.0
2018-04-13,39500.0
2018-04-20,39750.0
2018-04-27,40250.0
2018-05-04,41250.0
2018-05-11,41250.0
2018-05-18,40850.0
2018-05-25,40600.0
2018-06-01,40600.0
2018-06-08,39750.0
2018-06-15,39550.0
2018-06-22,39400.0
2018-06-29,39400.0
2018-07-06,40750.0
2018-07-13,41250.0
2018-07-20,41250.0
2018-07-27,41550.0
2018-08-03,42500.0
2018-08-10,43000.0
2018-08-17,43250.0
2018-08-24,48500.0
2018-08-31,45500.0
2018-09-07,44750.0
2018-09-14,44250.0
2018-09-21,43750.0
2018-09-28,43100.0
2018-10-05,42600.0
2018-10-12,41850.0
2018-10-19,40900.0
2018-10-26,40550.0
2018-11-02,40550.0
2018-11-09,40550.0
2018-11-16,40550.0
2018-11-23,40550.0
2018-11-30,40550.0
2018-12-07,39600.0
2018-12-14,38400.0
2018-12-21,38200.0
2018-12-28,37500.0
2019-01-04,37500.0
2019-01-11,37500.0
2019-01-18,36250.0
2019-01-25,35750.0
2019-02-01,35750.0
2019-02-08,36250.0
2019-02-15,38250.0
2019-02-22,40250.0
2019-03-01,41500.0
2019-03-08,41500.0
2019-03-15,41500.0
2019-03-22,41000.0
2019-03-29,41000.0
2019-04-05,41000.0
2019-04-12,41000.0
2019-04-19,41000.0
2019-04-26,41000.0
2019-05-03,41000.0
2019-05-10,42750.0
2019-05-17,42750.0
2019-05-24,42750.0
2019-05-31,42750.0
2019-06-07,44250.0
2019-06-14,43250.0
2019-06-21,43250.0
2019-06-28,43250.0
2019-07-05,43050.0
2019-07-12,42350.0
2019-07-19,42150.0
2019-07-26,41950.0
2019-08-02,41950.0
2019-08-09,41950.0
2019-08-16,41250.0
2019-08-23,40250.0
2019-08-30,39550.0
2019-09-06,39150.0
2019-09-13,38750.0
2019-09-20,37250.0
2019-09-27,37250.0
2019-10-04,35250.0
2019-10-11,34750.0
2019-10-18,34350.0
2019-10-25,34350.0
2019-11-01,34100.0
2019-11-08,33750.0
2019-11-15,33450.0
2019-11-22,33350.0
2019-11-29,32550.0
2019-12-06,32450.0
2019-12-13,32450.0
2019-12-20,33500.0
2019-12-27,33750.0
2020-01-03,33750.0
2020-01-10,33750.0
2020-01-17,33750.0
2020-01-24,33750.0
2020-01-31,34250.0
2020-02-07,34050.0
2020-02-14,33000.0
2020-02-21,33000.0
2020-02-28,33750.0
2020-03-06,34250.0
2020-03-13,36250.0
2020-03-20,36250.0
2020-03-27,35900.0
2020-04-03,35900.0
2020-04-10,35500.0
2020-04-17,35000.0
2020-04-24,35000.0
2020-05-01,34700.0
2020-05-08,34700.0
2020-05-15,34500.0
2020-05-22,34500.0
2020-05-29,34250.0
2020-06-05,34250.0
2020-06-12,34550.0
2020-06-19,35250.0
2020-06-26,36250.0
2020-07-03,36750.0
2020-07-10,37750.0
2020-07-17,37750.0
2020-07-24,38500.0
2020-07-31,39000.0
2020-08-07,39000.0
2020-08-14,39250.0
2020-08-21,40300.0
2020-08-28,40250.0
2020-09-04,40500.0
2020-09-11,40500.0
2020-09-18,40550.0
2020-09-25,41250.0
2020-10-02,42250.0
2020-10-09,42550.0
2020-10-16,41550.0
2020-10-23,41800.0
2020-10-30,41800.0
2020-11-06,42000.0
2020-11-13,42000.0
2020-11-20,42100.0
2020-11-27,42600.0
2020-12-04,44600.0
2020-12-11,52600.0
2020-12-18,61750.0
2020-12-25,63750.0
2021-01-01,64250.0
2021-01-08,64250.0
2021-01-15,65750.0
2021-01-22,65750.0
2021-01-29,62750.0
2021-02-05,58250.0
2021-02-12,53250.0
2021-02-19,51750.0
2021-02-26,50750.0
2021-03-05,52250.0
2021-03-12,52750.0
2021-03-19,53050.0
2021-03-26,53600.0
2021-04-02,55250.0
2021-04-09,56600.0
2021-04-16,60750.0
2021-04-23,62750.0
2021-04-30,64750.0
2021-05-07,65750.0
2021-05-14,69250.0
2021-05-21,73750.0
2021-05-28,73750.0
2021-06-04,74250.0
2021-06-11,76250.0
2021-06-18,76250.0
2021-06-25,76250.0
2021-07-02,76250.0
2021-07-09,76000.0
2021-07-16,73600.0
2021-07-23,73050.0
2021-07-30,71750.0
2021-08-06,68750.0
2021-08-13,67750.0
2021-08-20,66250.0
2021-08-27,64250.0
2021-09-03,62250.0
2021-09-10,57250.0
2021-09-17,56750.0
2021-09-24,55750.0
2021-10-01,58250.0
2021-10-08,61250.0
2021-10-15,66250.0
2021-10-22,75500.0
2021-10-29,79500.0
2021-11-05,81250.0
2021-11-12,80500.0
2021-11-19,79250.0
2021-11-26,70250.0
2021-12-03,66250.0
2021-12-10,64750.0
2021-12-17,65250.0
2021-12-24,67000.0
2021-12-31,67250.0
2022-01-07,67250.0
2022-01-14,67750.0
2022-01-21,66750.0
2022-01-28,67000.0
2022-02-04,69000.0
2022-02-11,69750.0
2022-02-18,72750.0
2022-02-25,81500.0
2022-03-04,82500.0
2022-03-11,78500.0
2022-03-18,71500.0
2022-03-25,76250.0
2022-04-01,76250.0
2022-04-08,76250.0
2022-04-15,72500.0
2022-04-22,69500.0
2022-04-29,64750.0
2022-05-06,64000.0
2022-05-13,63000.0
2022-05-20,59000.0
2022-05-27,55000.0
2022-06-03,48000.0
2022-06-10,45250.0
2022-06-17,46500.0
2022-06-24,47500.0
2022-07-01,48500.0
2022-07-08,49000.0
2022-07-15,51000.0
2022-07-22,51000.0
2022-07-29,50250.0
2022-08-05,50250.0
2022-08-12,49500.0
2022-08-19,48750.0
2022-08-26,48250.0
2022-09-02,48250.0
2022-09-09,47750.0
2022-09-16,47750.0
2022-09-23,47750.0
2022-09-30,47750.0
2022-10-07,47250.0
2022-10-14,46750.0
2022-10-21,45750.0
2022-10-28,45250.0
2022-11-04,44750.0
2022-11-11,43750.0
2022-11-18,43500.0
2022-11-25,43500.0
2022-12-02,44000.0
2022-12-09,44250.0
2022-12-16,44250.0
2022-12-23,45250.0
2022-12-30,45750.0
